,Country,Gold Medal,Silver Medal,Bronze Medal,Total,Rank By Total
0,United States of America,39,41,33,113,(1)
1,People's Republic of China,38,32,18,88,(2)
2,Japan,27,14,17,58,(5)
3,Great Britain,22,21,22,65,(4)
4,ROC,20,28,23,71,(3)
5,Australia,17,7,22,46,(6)
6,Netherlands,10,12,14,36,(9)
7,France,10,12,11,33,(10)
8,Germany,10,11,16,37,(8)
9,Italy,10,10,20,40,(7)
10,Canada,7,6,11,24,(11)
11,Brazil,7,6,8,21,(12)
12,New Zealand,7,6,7,20,(13)
13,Cuba,7,3,5,15,(18)
14,Hungary,6,7,7,20,(13)
15,Republic of Korea,6,4,10,20,
16,Poland,4,5,5,14,(19)
17,Czech Republic,4,4,3,11,(23)
18,Kenya,4,4,2,10,(25)
19,Norway,4,2,2,8,(29)
20,Jamaica,4,1,4,9,(26)
21,Spain,3,8,6,17,(17)
22,Sweden,3,6,0,9,(26)
23,Switzerland,3,4,6,13,(20)
24,Denmark,3,4,4,11,(23)
25,Croatia,3,3,2,8,(29)
26,Islamic Republic of Iran,3,2,2,7,(33)
27,Serbia,3,1,5,9,(26)
28,Belgium,3,1,3,7,(33)
29,Bulgaria,3,1,2,6,(39)
30,Slovenia,3,1,1,5,(42)
31,Uzbekistan,3,0,2,5,(42)
32,Georgia,2,5,1,8,(29)
33,Chinese Taipei,2,4,6,12,(22)
34,Turkey,2,2,9,13,(20)
35,Greece,2,1,1,4,(47)
36,Uganda,2,1,1,4,(47)
37,Ecuador,2,1,0,3,(60)
38,Ireland,2,0,2,4,(47)
39,Israel,2,0,2,4,(47)
40,Qatar,2,0,1,3,(60)
41,Bahamas,2,0,0,2,(66)
42,Kosovo,2,0,0,2,(66)
43,Ukraine,1,6,12,19,(16)
44,Belarus,1,3,3,7,(33)
45,Romania,1,3,0,4,(47)
46,Venezuela,1,3,0,4,(47)
47,India,1,2,4,7,(33)
48,"Hong Kong, China",1,2,3,6,(39)
49,Philippines,1,2,1,4,(47)
50,Slovakia,1,2,1,4,(47)
51,South Africa,1,2,0,3,(60)
52,Austria,1,1,5,7,(33)
53,Egypt,1,1,4,6,(39)
54,Indonesia,1,1,3,5,(42)
55,Ethiopia,1,1,2,4,(47)
56,Portugal,1,1,2,4,(47)
57,Tunisia,1,1,0,2,(66)
58,Estonia,1,0,1,2,(66)
59,Fiji,1,0,1,2,(66)
60,Latvia,1,0,1,2,(66)
61,Thailand,1,0,1,2,(66)
62,Bermuda,1,0,0,1,(77)
63,Morocco,1,0,0,1,(77)
64,Puerto Rico,1,0,0,1,(77)
65,Colombia,0,4,1,5,(42)
66,Azerbaijan,0,3,4,7,(33)
67,Dominican Republic,0,3,2,5,(42)
68,Armenia,0,2,2,4,(47)
69,Kyrgyzstan,0,2,1,3,(60)
70,Mongolia,0,1,3,4,(47)
71,Argentina,0,1,2,3,(60)
72,San Marino,0,1,2,3,(60)
73,Jordan,0,1,1,2,(66)
74,Malaysia,0,1,1,2,(66)
75,Nigeria,0,1,1,2,(66)
76,Bahrain,0,1,0,1,(77)
77,Saudi Arabia,0,1,0,1,(77)
78,Lithuania,0,1,0,1,(77)
79,North Macedonia,0,1,0,1,(77)
80,Namibia,0,1,0,1,(77)
81,Turkmenistan,0,1,0,1,(77)
82,Kazakhstan,0,0,8,8,(29)
83,Mexico,0,0,4,4,(47)
84,Finland,0,0,2,2,(66)
85,Botswana,0,0,1,1,(77)
86,Burkina Faso,0,0,1,1,(77)
87,C̫te d'Ivoire,0,0,1,1,(77)
88,Ghana,0,0,1,1,(77)
89,Grenada,0,0,1,1,(77)
90,Kuwait,0,0,1,1,(77)
91,Republic of Moldova,0,0,1,1,(77)
92,Syrian Arab Republic,0,0,1,1,(77)
